,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
24,24,881,24_راءع_اكثر راءع_مركز راءع_مركز,"['راءع', 'اكثر راءع', 'مركز راءع', 'مركز', 'الراءع', 'اكثر', 'وتاسيس', 'المركز', 'رااءع', 'راءعين']","['اكثر راءع', 'بشكل راءع', 'مركز اكثر راءع', 'تعليم راءع', 'رااءع', 'مكان راءع', 'راءع', 'الاطفال راءع', 'الاكثر راءع', 'راءع النواحي']","['الاداريين راءع', 'وحس ابداعي راءع', 'وبسعر راءع']"
25,25,700,25_ام_والده_المركز نظيف_عبدالله,"['ام', 'والده', 'المركز نظيف', 'عبدالله', 'القحطاني', 'العنزي', 'محمد', 'العتيبي', 'ساره', 'ابو']","['ام ثواب', 'ام عمر', 'ام سعود', 'ام فهد', 'ام خالد', 'ام', 'انا ام', 'مها', 'ابو', 'العنود']","['ام قمر', 'ام رودي', 'ام حمودي النشار']"
26,26,655,26_يشكر_يوفقهم_ويسعدهم_الله,"['يشكر', 'يوفقهم', 'ويسعدهم', 'الله', 'الله يوفقهم', 'فضله', 'يبارك', 'يشكر الناس', 'ويبارك', 'يشكر الله']","['الناس يشكر الله', 'يشكر الناس يشكر', 'يشكر الناس', 'يشكر الله', 'الناس يشكر', 'الله الله', 'جزاكم الله', 'بارك الله', 'الله خير', 'جزاكم']","['يشكر الناس يشكر الله', 'يشكر الناس يشكر الله', 'يشكر الناس يشكر الله']"
27,27,244,27_والمعلمات_والترفيه_واخلاص_والثناء,"['والمعلمات', 'والترفيه', 'واخلاص', 'والثناء', 'والامتنان', 'والمرح', 'والاخلاص', 'الفصول', 'بالذات', 'اسماء']","['والمعلمات', 'والامتنان', 'والثناء', 'والاخلاص', 'واخلاص', 'والترفيه', 'والمرح', 'بالذات', 'الفصول', '']","['والمعلمات', 'والمعلمات', 'والمعلمات']"
28,28,209,28_السلام_الجمال_جميعا_موجود,"['السلام', 'الجمال', 'جميعا', 'موجود', 'دليل', 'العلم', 'الرسوم', 'ام', '', '']","['السلام', 'العلم', 'الجمال', 'جميعا', 'موجود', 'الرسوم', 'دليل', '', '', '']","['السلام', 'السلام', 'السلام']"
29,29,179,29_والتعاون_وعنايه_والطفل_ومهتمه,"['والتعاون', 'وعنايه', 'والطفل', 'ومهتمه', 'الله', 'رحمه', 'لله', 'ورحابه', 'صدر', 'مشاء الله']","['والتعاون', 'والطفل', 'لله', 'رحمه', 'الله', 'صدر', '', '', '', '']","['والتعاون', 'والتعاون', 'والتعاون']"
30,30,163,30_حضانه راءعه_حضانه_راءعه_ولطيفات,"['حضانه راءعه', 'حضانه', 'راءعه', 'ولطيفات', 'شهيد', 'والعاملات', 'اقول', 'والله', 'مره والله', 'ولطيف']","['حضانه راءعه', 'حضانه', 'راءعه', 'وحضانه', 'حضانه اطفال', 'ولطيفات', 'ولطيف', 'مره', 'مره والله', 'داءما']","['حضانه راءعه', 'حضانه راءعه', 'حضانه راءعه']"
31,31,158,31_واهتمام___,"['واهتمام', '', '', '', '', '', '', '', '', '']","['واهتمام', '', '', '', '', '', '', '', '', '']","['واهتمام', 'واهتمام', 'واهتمام']"
32,32,151,32_راقي_وتعامل راقي_تعامل راقي_وتعامل,"['راقي', 'وتعامل راقي', 'تعامل راقي', 'وتعامل', 'ومتميزه', 'بالتوفيق', 'ومتكامل', 'تعامل', 'ومتجدده', 'وكادر']","['وتعامل راقي', 'تعامل راقي', 'راقي', 'راقيه', 'ومعامله', 'اخلاقي', 'تعامل', 'معامله', 'وكادر تعليمي', 'اخلاق']","['وتعامل راقي', 'وتعامل راقي', 'وتعامل راقي']"
33,33,147,33_مركز جميل_جميل_مركز_واحتواءهم,"['مركز جميل', 'جميل', 'مركز', 'واحتواءهم', 'منظم', 'متعاون', 'مريح', 'مبدع', 'بحث', 'رهيب']","['مركز جميل', 'مركز', 'مركز الرواد', 'المركز', 'المركز مركز', 'منظم', 'تجربتي مركز', 'مريح', 'مبدع', 'الجميل']","['مركز جميل', 'مركز جميل', 'مركز جميل']"
